2022-08-08 23:43:07.638 [main] INFO  com.zhangyun.portalknight.server.ServerApplication - Starting ServerApplication using Java 1.8.0_342 on zhangyundeAir.lan with PID 66992 (/Users/zhangyun/Documents/javaProject/portal-knight/server/target/classes started by zhangyun in /Users/zhangyun/Documents/javaProject/portal-knight)
2022-08-08 23:43:07.640 [main] INFO  com.zhangyun.portalknight.server.ServerApplication - The following 1 profile is active: "dev"
2022-08-08 23:43:08.189 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode
2022-08-08 23:43:08.190 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2022-08-08 23:43:08.204 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 7 ms. Found 0 Redis repository interfaces.
2022-08-08 23:43:08.504 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
2022-08-08 23:43:08.515 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2022-08-08 23:43:08.515 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.65]
2022-08-08 23:43:08.592 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2022-08-08 23:43:08.592 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 912 ms
2022-08-08 23:43:10.213 [main] INFO  s.d.s.w.PropertySourcedRequestMappingHandlerMapping - Mapped URL path [/v2/api-docs] onto method [springfox.documentation.swagger2.web.Swagger2Controller#getDocumentation(String, HttpServletRequest)]
2022-08-08 23:43:10.586 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8080 (http) with context path ''
2022-08-08 23:43:10.586 [main] INFO  s.d.s.web.plugins.DocumentationPluginsBootstrapper - Context refreshed
2022-08-08 23:43:10.594 [main] INFO  s.d.s.web.plugins.DocumentationPluginsBootstrapper - Found 1 custom documentation plugin(s)
2022-08-08 23:43:10.607 [main] INFO  s.d.spring.web.scanners.ApiListingReferenceScanner - Scanning for api listing references
2022-08-08 23:43:10.671 [main] INFO  com.zhangyun.portalknight.server.ServerApplication - Started ServerApplication in 3.372 seconds (JVM running for 3.824)
2022-08-08 23:43:10.672 [pool-1-thread-1] INFO  com.zhangyun.portalknight.server.upload.Server - 服务端启动。。。
2022-08-08 23:43:10.672 [main] INFO  com.zhangyun.portalknight.server.ServerApplication - 服务启动成功！
2022-08-08 23:43:20.024 [http-nio-8080-exec-1] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2022-08-08 23:43:20.024 [http-nio-8080-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2022-08-08 23:43:20.026 [http-nio-8080-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Completed initialization in 2 ms
2022-08-08 23:46:10.594 [http-nio-8080-exec-10] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
2022-08-08 23:46:10.788 [http-nio-8080-exec-10] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
2022-08-08 23:46:10.818 [http-nio-8080-exec-10] INFO  c.z.portalknight.server.controller.UserController - find all users: []
2022-08-08 23:59:02.031 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown initiated...
2022-08-08 23:59:02.035 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown completed.
